Number,Structure,Abbreviation,Label_Num,,,,,,,,,,,
41,_40_secondary_visual_cortex__mediomedial_area,V2MM_L,40,30263,2.400894104,6.1716371,6.7572803,8.106225,40,0,0,40,40,1210520
41,_40_secondary_visual_cortex__mediomedial_area,V2MM_R,1040,30263,2.400894104,6.1716371,6.7572803,8.106225,40,0,0,40,40,1210520
42,_41_ventral_orbital_cortex,V0_L,41,20907,1.658642337,6.116859,13.199687,6.0755582,41,0,0,41,41,857187
42,_41_ventral_orbital_cortex,VO_R,1041,20907,1.658642337,6.116859,13.199687,6.0755582,41,0,0,41,41,857187
43,_42_caudomedial_entorhinal_cortex,Cent_L,42,68149,5.406553624,6.2593145,5.7749434,5.0017295,42,0,0,42,42,2862258
43,_42_caudomedial_entorhinal_cortex,Cent_R,1042,68149,5.406553624,6.2593145,5.7749434,5.0017295,42,0,0,42,42,2862258
44,_43_dorsal_intermediate_entorhinal_cortex,DIEnt_L,43,19198,1.523060008,6.1055393,7.1976085,3.7845318,43,0,0,43,43,825514
44,_43_dorsal_intermediate_entorhinal_cortex,DIEnt_R,1043,19198,1.523060008,6.1055393,7.1976085,3.7845318,43,0,0,43,43,825514
45,_44_dorsolateral_entorhinal_cortex,DLEnt_L,44,35956,2.852544309,6.2850547,7.0825567,4.504632,44,0,0,44,44,1582064
45,_44_dorsolateral_entorhinal_cortex,DLEnt_R,1044,35956,2.852544309,6.2850547,7.0825567,4.504632,44,0,0,44,44,1582064
46,_45_medial_entorhinal_cortex,MEnt_L,45,10608,0.841578319,6.1113424,6.3301721,3.9291606,45,0,0,45,45,477360
46,_45_medial_entorhinal_cortex,MEnt_R,1045,10608,0.841578319,6.1113424,6.3301721,3.9291606,45,0,0,45,45,477360
47,_46_ventral_intermediate_entorhinal_cortex,VIEnt_L,46,17156,1.361059355,6.3170352,6.9339056,3.4958069,46,0,0,46,46,789176
47,_46_ventral_intermediate_entorhinal_cortex,VIEnt_R,1046,17156,1.361059355,6.3170352,6.9339056,3.4958069,46,0,0,46,46,789176
48,_47_claustrum,Cl_L,47,3494,0.277194065,6.0841584,12.124052,4.849225,47,8.94E-07,8.00E-13,47,47,164218
48,_47_claustrum,Cl_R,1047,3494,0.277194065,6.0841584,12.124052,4.849225,47,8.94E-07,8.00E-13,47,47,164218
49,_48_dorsal_claustrum,DCl_L,48,1622,0.128680244,5.9887843,10.502413,4.833405,48,0,0,48,48,77856
49,_48_dorsal_claustrum,DCl_R,1048,1622,0.128680244,5.9887843,10.502413,4.833405,48,0,0,48,48,77856
50,_49_posterolateral_cortical_amygdaloid_area,PLCo_L,49,25271,2.004857249,6.1981678,8.5274534,2.3992617,49,0,0,49,49,1238279
50,_49_posterolateral_cortical_amygdaloid_area,PLCo_R,1049,25271,2.004857249,6.1981678,8.5274534,2.3992617,49,0,0,49,49,1238279
51,_50_Ventral_Claustrum,VCl_L,50,4524,0.358908401,6.6542726,10.602923,4.5771537,50,0,0,50,50,226200
